"id";"code_geo";"town_clean"
"1015338";"38503";"LA TERRASSE"
"1015403";"94046";"MAISONS-ALFORT"
"1015585";"30189";"NIMES"
"1015759";"75056";"PARIS"
"1015882";"78126";"LA CELLE-SAINT-CLOUD"
"1016419";"38474";"SASSENAGE"
"1016849";"67137";"FEGERSHEIM"
"1016914";"75056";"PARIS"
"1016971";"45203";"MEUNG-SUR-LOIRE"
"1017243";"02738";"TERGNIER"
"1017250";"75056";"PARIS"
"1017680";"72093";"CORMES"
"1017813";"45234";"ORLEANS"
"1017870";"07324";"TOURNON-SUR-RHONE"
"1017987";"64404";"MONTORY"
"1018035";"64160";"CAMBO-LES-BAINS"
"1018175";"68154";"ILLZACH"
"1018209";"13066";"NOVES"
"1018340";"75056";"PARIS"
"1018373";"73124";"GILLY-SUR-ISERE"
"1018472";"75056";"PARIS"
"1018522";"94046";"MAISONS-ALFORT"
"1018621";"17415";"SAINTES"
"1018738";"75056";"PARIS"
"1018761";"60057";"BEAUVAIS"
"1018910";"75056";"PARIS"
"1018985";"75056";"PARIS"
"1019108";"75056";"PARIS"
"1019124";"94034";"FRESNES"
"1019306";"73128";"GRESY-SUR-AIX"
"1019330";"49256";"RABLAY-SUR-LAYON"
"1019405";"75056";"PARIS"
"1019504";"75056";"PARIS"
"1019579";"92036";"GENNEVILLIERS"
"1019595";"78646";"VERSAILLES"
"1019652";"69123";"LYON"
"1019728";"94041";"IVRY-SUR-SEINE"
"1019835";"21526";"ROCHEFORT-SUR-BREVON"
"1019892";"86194";"POITIERS"
"1019959";"94048";"MAROLLES-EN-BRIE"
"1020056";"79170";"MAUZE-SUR-LE-MIGNON"
"1020098";"54257";"HEILLECOURT"
"1020114";"77512";"VILLENEUVE-SUR-BELLOT"
"1020155";"74012";"ANNEMASSE"
"1020288";"42218";"SAINT-ETIENNE"
"1020312";"78372";"MARLY-LE-ROI"
"1020437";"13055";"MARSEILLE"
"1020460";"85294";"LA TRANCHE-SUR-MER"
"1020478";"52269";"LANGRES"
"1020528";"93006";"BAGNOLET"
"1020619";"13103";"SALON-DE-PROVENCE"
"1020676";"92063";"RUEIL-MALMAISON"
"1020833";"75056";"PARIS"
"1020924";"59512";"ROUBAIX"
"1021138";"68164";"KAYSERSBERG-VIGNOBLE"
"1021146";"93006";"BAGNOLET"
"1021294";"06123";"SAINT-LAURENT-DU-VAR"
"1021393";"92051";"NEUILLY-SUR-SEINE"
"1021641";"57089";"BITCHE"
"1021732";"87085";"LIMOGES"
"1021757";"60535";"REUIL-SUR-BRECHE"
"1021831";"65439";"TARASTEIX"
"1021971";"65417";"SEMEAC"
"1022045";"08409";"SEDAN"
"1022185";"77244";"LARCHANT"
"1022292";"44109";"NANTES"
"1022359";"94067";"SAINT-MANDE"
"1022391";"73065";"CHAMBERY"
"1022409";"13055";"MARSEILLE"
"1022458";"34129";"LATTES"
"1022524";"95388";"MENUCOURT"
"1022565";"70311";"LUXEUIL-LES-BAINS"
"1022664";"24454";"SAINT-MARTIN-DE-GURSON"
"1022730";"74208";"PASSY"
"1022797";"75056";"PARIS"
"1023217";"78646";"VERSAILLES"
"1023324";"06095";"PEYMEINADE"
"1023423";"74299";"VEYRIER-DU-LAC"
"1023431";"35245";"ROMILLE"
"1023613";"59295";"HAZEBROUCK"
"1023712";"69123";"LYON"
"1023977";"89206";"JOIGNY"
"1023993";"02304";"LA FERE"
"1024017";"03185";"MONTLUCON"
"1024181";"13103";"SALON-DE-PROVENCE"
"1024199";"27267";"FRENEUSE-SUR-RISLE"
"1024280";"41032";"CHAILLES"
"1024363";"34219";"PREMIAN"
"1024462";"36044";"CHATEAUROUX"
"1024512";"73110";"ESSERTS-BLAY"
"1024975";"38448";"SAINT-PRIM"
"1025113";"92012";"BOULOGNE-BILLANCOURT"
"1025147";"44162";"SAINT-HERBLAIN"
"1025162";"30252";"SAINT-FELIX-DE-PALLIERES"
"1025220";"34142";"LODEVE"
"1025410";"34256";"SAINT-GENIES-DES-MOURGUES"
"1025527";"91235";"SAINT-GENEVIEVE-DES-BOIS"
"1025535";"92048";"MEUDON"
"1025568";"78396";"LE MESNIL-LE-ROI"
"1025733";"59017";"ARMENTIERES"
"1025782";"59270";"GRAND-FAYT"
"1025923";"75056";"PARIS"
"1025964";"45028";"BEAUGENCY"
"1026038";"84030";"CAROMB"
"1026145";"75056";"PARIS"
"1026319";"60439";"MOUY"
"1026590";"77374";"PONTCARRE"
"1027150";"69266";"VILLEURBANNE"
"1027523";"06023";"BREIL-SUR-ROYA"
"1027747";"59507";"RONCHIN"
"1028067";"29105";"LANDIVISIAU"
"1028257";"75056";"PARIS"
"1028604";"78146";"CHATOU"
"1028638";"78545";"SAINT-CYR-L'ECOLE"
"1028653";"71540";"TORCY"
"1028679";"75056";"PARIS"
"1028687";"69066";"COURS-LA-VILLE"
"1028893";"58194";"NEVERS"
"1028984";"92051";"NEUILLY-SUR-SEINE"
"1029016";"04070";"DIGNE-LES-BAINS"
"1029057";"31555";"TOULOUSE"
"1029214";"93066";"SAINT-DENIS"
"1029396";"93046";"LIVRY-GARGAN"
"1029461";"59183";"DUNKERQUE"
"1029487";"57463";"METZ"
"1029685";"06088";"NICE"
